time,vel_theta1,vel_theta2,vel_d3,vel_theta4
216.013,0.182536,-8.30423,5.30146,-8.29558
216.043,0.173541,-8.32056,5.3133,-8.31838
216.073,0.164374,-8.33605,5.32464,-8.34046
216.103,0.155038,-8.35071,5.33546,-8.3618
216.133,0.145531,-8.36452,5.34576,-8.38241
216.163,0.135854,-8.3775,5.35556,-8.40229
216.193,0.126007,-8.38964,5.36485,-8.42143
216.223,0.115989,-8.40094,5.37362,-8.43985
216.254,0.105459,-8.41173,5.38214,-8.45811
216.284,0.0950951,-8.42133,5.38988,-8.47504
216.314,0.084561,-8.43009,5.39709,-8.49123
216.344,0.0738566,-8.43801,5.4038,-8.50669
216.374,0.0629819,-8.44509,5.41,-8.52143
216.404,0.0519369,-8.45134,5.41568,-8.53543
216.434,0.0407217,-8.45674,5.42085,-8.54869
216.464,0.0293361,-8.46131,5.42551,-8.56123
216.494,0.0177803,-8.46504,5.42966,-8.57303
216.524,0.00605418,-8.46793,5.43329,-8.58411
216.554,-0.00584222,-8.46999,5.43642,-8.59445
216.584,-0.0179089,-8.4712,5.43903,-8.60406
216.614,-0.0301459,-8.47158,5.44113,-8.61293
216.644,-0.0425531,-8.47112,5.44271,-8.62108
216.674,-0.0551307,-8.46982,5.44379,-8.62849
216.704,-0.0678785,-8.46768,5.44435,-8.63517
216.734,-0.0807966,-8.46471,5.4444,-8.64112
216.764,-0.093885,-8.46089,5.44394,-8.64634
216.794,-0.107144,-8.45624,5.44297,-8.65083
216.824,-0.120573,-8.45075,5.44149,-8.65458
216.854,-0.134172,-8.44443,5.43949,-8.6576
216.885,-0.148403,-8.43701,5.43689,-8.65996
216.915,-0.162349,-8.42898,5.43385,-8.66149
216.945,-0.176465,-8.42011,5.4303,-8.66229
216.975,-0.190751,-8.4104,5.42624,-8.66236
217.005,-0.205207,-8.39985,5.42166,-8.6617
217.035,-0.219834,-8.38847,5.41658,-8.66031
217.065,-0.234631,-8.37625,5.41098,-8.65819
217.095,-0.249598,-8.36319,5.40487,-8.65533
217.125,-0.264736,-8.34929,5.39825,-8.65174
217.155,-0.280043,-8.33455,5.39111,-8.64742
217.185,-0.295521,-8.31898,5.38347,-8.64237
217.215,-0.31117,-8.30257,5.37531,-8.63659
217.245,-0.326988,-8.28532,5.36664,-8.63007
217.275,-0.342977,-8.26723,5.35746,-8.62282
217.305,-0.359137,-8.2483,5.34776,-8.61484
217.335,-0.375466,-8.22854,5.33756,-8.60613
217.365,-0.391966,-8.20794,5.32684,-8.59669
217.395,-0.408636,-8.18649,5.31561,-8.58651
217.425,-0.425476,-8.16422,5.30387,-8.57561
217.455,-0.442487,-8.1411,5.29162,-8.56397
217.485,-0.459668,-8.11714,5.27885,-8.5516
217.516,-0.477601,-8.09151,5.26512,-8.53805
217.546,-0.495128,-8.06585,5.25131,-8.52419
217.576,-0.512825,-8.03935,5.23699,-8.5096
217.606,-0.530693,-8.01202,5.22216,-8.49428
217.636,-0.548731,-7.98384,5.20682,-8.47823
217.666,-0.566939,-7.95483,5.19097,-8.46144
217.696,-0.585318,-7.92498,5.1746,-8.44392
217.726,-0.603867,-7.89429,5.15772,-8.42567
217.757,-0.623213,-7.8617,5.13974,-8.40605
217.795,-0.647176,-7.82053,5.11696,-8.38093
217.825,-0.666286,-7.78708,5.09839,-8.36026
217.855,-0.685568,-7.75278,5.07931,-8.33887
217.885,-0.705019,-7.71765,5.05971,-8.31674
217.915,-0.724641,-7.68169,5.03961,-8.29388
217.945,-0.744433,-7.64488,5.01899,-8.27029
217.975,-0.764395,-7.60724,4.99786,-8.24596
218.005,-0.784528,-7.56875,4.97622,-8.22091
218.035,-0.80483,-7.52943,4.95407,-8.19512
218.065,-0.825304,-7.48928,4.93141,-8.16861
218.095,-0.845947,-7.44828,4.90823,-8.14136
218.125,-0.866761,-7.40644,4.88454,-8.11337
218.155,-0.887745,-7.36377,4.86034,-8.08466
218.185,-0.908899,-7.32026,4.83563,-8.05521
218.215,-0.930224,-7.27591,4.8104,-8.02504
218.245,-0.951718,-7.23073,4.78467,-7.99413
218.275,-0.973384,-7.1847,4.75842,-7.96249
218.305,-0.995219,-7.13784,4.73166,-7.93011
218.335,-1.01722,-7.09014,4.70439,-7.89701
218.365,-1.0394,-7.0416,4.6766,-7.86317
218.395,-1.06175,-6.99222,4.6483,-7.8286
218.435,-1.09181,-6.92508,4.60978,-7.78137
218.465,-1.11455,-6.87375,4.58029,-7.7451
218.495,-1.13746,-6.82157,4.55029,-7.70809
218.525,-1.16055,-6.76857,4.51977,-7.67035
218.555,-1.1838,-6.71472,4.48874,-7.63188
218.585,-1.20723,-6.66003,4.4572,-7.59268
218.615,-1.23082,-6.60451,4.42515,-7.55274
218.645,-1.25459,-6.54815,4.39259,-7.51208
218.675,-1.27852,-6.49095,4.35951,-7.47068
218.705,-1.30263,-6.43291,4.32593,-7.42855
218.735,-1.32691,-6.37403,4.29183,-7.38568
218.766,-1.35217,-6.31231,4.25605,-7.34062
218.796,-1.37679,-6.25173,4.22091,-7.29627
218.826,-1.40159,-6.19032,4.18526,-7.25119
218.856,-1.42655,-6.12806,4.1491,-7.20538
218.886,-1.45168,-6.06497,4.11242,-7.15883
218.916,-1.47699,-6.00103,4.07523,-7.11156
218.946,-1.50246,-5.93626,4.03753,-7.06355
218.976,-1.5281,-5.87065,3.99932,-7.01481
219.006,-1.55392,-5.80421,3.9606,-6.96533
219.036,-1.5799,-5.73692,3.92136,-6.91513
219.066,-1.60606,-5.6688,3.88161,-6.86419
219.096,-1.63238,-5.59984,3.84135,-6.81252
219.126,-1.65888,-5.53004,3.80058,-6.76012
219.156,-1.68554,-5.4594,3.75929,-6.70699
219.186,-1.71238,-5.38793,3.7175,-6.65313
219.216,-1.73939,-5.31561,3.67519,-6.59853
219.246,-1.76656,-5.24246,3.63237,-6.54321
219.276,-1.79391,-5.16847,3.58904,-6.48715
219.306,-1.82143,-5.09364,3.54519,-6.43036
219.336,-1.84912,-5.01798,3.50084,-6.37283
219.366,-1.87697,-4.94148,3.45597,-6.31458
219.397,-1.90594,-4.86154,3.40907,-6.25361
219.427,-1.93414,-4.78333,3.36316,-6.19387
219.457,-1.96252,-4.70429,3.31674,-6.1334
219.487,-1.99106,-4.6244,3.2698,-6.07219
219.517,-2.01978,-4.54368,3.22236,-6.01025
219.547,-2.04866,-4.46212,3.1744,-5.94758
219.577,-2.07772,-4.37972,3.12593,-5.88418
219.607,-2.10694,-4.29648,3.07695,-5.82005
219.637,-2.13634,-4.21241,3.02746,-5.75518
219.667,-2.16591,-4.1275,2.97745,-5.68958
219.697,-2.19564,-4.04175,2.92693,-5.62326
219.727,-2.22555,-3.95516,2.8759,-5.5562
219.757,-2.25563,-3.86773,2.82436,-5.4884
219.787,-2.28587,-3.77946,2.77231,-5.41988
219.817,-2.31629,-3.69036,2.71974,-5.35062
219.847,-2.34688,-3.60042,2.66667,-5.28063
219.877,-2.39582,-3.56423,2.64805,-5.27214
219.907,-2.44436,-3.52822,2.62953,-5.26363
219.937,-2.49251,-3.49241,2.6111,-5.25511
219.967,-2.54027,-3.45678,2.59277,-5.24659
219.997,-2.58764,-3.42134,2.57453,-5.23805
220.028,-2.63617,-3.38492,2.55579,-5.22922
220.058,-2.68275,-3.34987,2.53775,-5.22066
220.088,-2.72893,-3.31501,2.51981,-5.21209
220.118,-2.77471,-3.28034,2.50196,-5.20351
220.148,-2.82011,-3.24585,2.48421,-5.19491
220.178,-2.86511,-3.21156,2.46655,-5.18631
220.208,-2.90973,-3.17745,2.44899,-5.1777
220.238,-2.95395,-3.14353,2.43153,-5.16908
220.268,-2.99778,-3.10981,2.41416,-5.16044
220.298,-3.04121,-3.07627,2.39689,-5.1518
220.328,-3.08426,-3.04292,2.37972,-5.14315
220.358,-3.12691,-3.00976,2.36264,-5.13448
220.388,-3.16917,-2.97679,2.34565,-5.1258
220.418,-3.21104,-2.94401,2.32877,-5.11712
220.448,-3.25252,-2.91142,2.31198,-5.10842
220.478,-3.29361,-2.87901,2.29528,-5.09971
220.508,-3.3343,-2.8468,2.27868,-5.091
220.538,-3.37461,-2.81477,2.26218,-5.08227
220.568,-3.41452,-2.78294,2.24577,-5.07353
220.598,-3.45404,-2.75129,2.22946,-5.06478
220.629,-3.49446,-2.71879,2.2127,-5.05573
220.659,-3.53319,-2.68753,2.19659,-5.04696
220.689,-3.57152,-2.65646,2.18057,-5.03818
220.719,-3.60946,-2.62558,2.16464,-5.02938
220.749,-3.647,-2.59488,2.14881,-5.02058
220.779,-3.68416,-2.56438,2.13308,-5.01177
220.809,-3.72092,-2.53406,2.11745,-5.00294
220.839,-3.7573,-2.50394,2.10191,-4.99411
220.869,-3.79328,-2.474,2.08646,-4.98527
220.899,-3.82886,-2.44425,2.07111,-4.97641
220.929,-3.86406,-2.4147,2.05586,-4.96755
220.959,-3.89887,-2.38533,2.0407,-4.95867
220.989,-3.93328,-2.35615,2.02564,-4.94978
221.019,-3.9673,-2.32716,2.01068,-4.94088
221.049,-4.00093,-2.29836,1.99581,-4.93198
221.079,-4.03417,-2.26974,1.98104,-4.92306
221.109,-4.06701,-2.24132,1.96636,-4.91413
221.139,-4.09947,-2.21309,1.95178,-4.90519
221.169,-4.13153,-2.18504,1.9373,-4.89624
221.199,-4.1632,-2.15719,1.92291,-4.88728
221.229,-4.19448,-2.12952,1.90862,-4.87831
221.26,-4.22639,-2.10113,1.89395,-4.86903
221.29,-4.25687,-2.07385,1.87985,-4.86003
221.32,-4.28696,-2.04676,1.86585,-4.85103
221.35,-4.31666,-2.01986,1.85195,-4.84202
221.38,-4.34597,-1.99315,1.83814,-4.83299
221.41,-4.37489,-1.96662,1.82443,-4.82396
221.44,-4.40341,-1.94029,1.81081,-4.81491
221.47,-4.43154,-1.91414,1.79729,-4.80586
221.5,-4.45928,-1.88819,1.78386,-4.79679
221.53,-4.48663,-1.86242,1.77053,-4.78771
221.56,-4.51358,-1.83684,1.7573,-4.77862
221.59,-4.54015,-1.81145,1.74416,-4.76953
221.62,-4.56632,-1.78625,1.73112,-4.76042
221.65,-4.5921,-1.76124,1.71818,-4.7513
221.68,-4.61749,-1.73642,1.70533,-4.74217
221.71,-4.64249,-1.71179,1.69257,-4.73303
221.74,-4.6671,-1.68735,1.67992,-4.72388
221.77,-4.69131,-1.66309,1.66736,-4.71472
221.8,-4.71513,-1.63903,1.65489,-4.70554
221.83,-4.73856,-1.61516,1.64252,-4.69636
221.86,-4.7616,-1.59147,1.63025,-4.68717
221.891,-4.785,-1.56719,1.61767,-4.67766
221.921,-4.80724,-1.54389,1.60559,-4.66844
221.951,-4.82909,-1.52078,1.59361,-4.65922
221.981,-4.85055,-1.49786,1.58172,-4.64998
222.011,-4.87161,-1.47513,1.56993,-4.64074
222.041,-4.89229,-1.45258,1.55824,-4.63148
222.071,-4.91257,-1.43023,1.54664,-4.62221
222.101,-4.93246,-1.40806,1.53514,-4.61293
222.131,-4.95196,-1.38609,1.52373,-4.60365
222.161,-4.97107,-1.3643,1.51242,-4.59435
222.191,-4.98978,-1.3427,1.50121,-4.58504
222.221,-5.00811,-1.32129,1.49009,-4.57572
222.251,-5.02604,-1.30007,1.47907,-4.56639
222.281,-5.04358,-1.27904,1.46814,-4.55705
222.311,-5.06073,-1.2582,1.45731,-4.54769
222.341,-5.07749,-1.23755,1.44658,-4.53833
222.371,-5.09385,-1.21709,1.43594,-4.52896
222.401,-5.10983,-1.19682,1.4254,-4.51958
222.431,-5.12541,-1.17673,1.41495,-4.51018
222.461,-5.1406,-1.15684,1.4046,-4.50078
222.491,-5.1554,-1.13713,1.39435,-4.49136
222.522,-5.17028,-1.11697,1.38386,-4.48162
222.552,-5.18428,-1.09765,1.3738,-4.47219
222.582,-5.19789,-1.07852,1.36383,-4.46274
222.612,-5.2111,-1.05958,1.35397,-4.45328
222.642,-5.22393,-1.04082,1.3442,-4.44381
222.672,-5.23637,-1.02226,1.33452,-4.43434
222.702,-5.24841,-1.00388,1.32494,-4.42485
222.732,-5.26006,-0.985699,1.31546,-4.41535
222.762,-5.27132,-0.967704,1.30607,-4.40584
222.792,-5.28218,-0.949897,1.29678,-4.39632
222.822,-5.29266,-0.932279,1.28759,-4.38678
222.852,-5.30274,-0.914851,1.27849,-4.37724
222.882,-5.31244,-0.897612,1.26949,-4.36769
222.912,-5.32174,-0.880562,1.26058,-4.35813
222.942,-5.33064,-0.863702,1.25177,-4.34855
222.972,-5.33916,-0.847031,1.24306,-4.33897
223.002,-5.34729,-0.830549,1.23444,-4.32937
223.032,-5.35502,-0.814256,1.22591,-4.31977
223.062,-5.36236,-0.798152,1.21749,-4.31015
223.092,-5.36931,-0.782238,1.20916,-4.30053
223.122,-5.37587,-0.766513,1.20092,-4.29089
223.153,-5.38223,-0.750462,1.19251,-4.28092
223.183,-5.38799,-0.735122,1.18447,-4.27126
223.213,-5.39336,-0.719971,1.17653,-4.26159
223.243,-5.39834,-0.705009,1.16868,-4.25192
223.273,-5.40293,-0.690236,1.16093,-4.24223
223.303,-5.40712,-0.675653,1.15328,-4.23253
223.333,-5.41092,-0.661258,1.14572,-4.22281
223.363,-5.41433,-0.647054,1.13825,-4.21309
223.393,-5.41735,-0.633038,1.13089,-4.20336
223.423,-5.41998,-0.619211,1.12361,-4.19362
223.453,-5.42221,-0.605574,1.11644,-4.18387
223.483,-5.42406,-0.592126,1.10936,-4.1741
223.513,-5.42551,-0.578867,1.10238,-4.16433
