time,pos_x,pos_y,pos_z,pos_phi
62.169,237.765,147.707,108.273,10
62.179,237.701,147.055,108.166,10
62.19,237.629,146.339,108.049,10
62.2,237.561,145.688,107.942,10
62.211,237.484,144.974,107.825,10
62.222,237.405,144.26,107.707,10
62.233,237.324,143.548,107.59,10
62.243,237.248,142.901,107.484,10
62.254,237.163,142.191,107.366,10
62.264,237.084,141.547,107.26,10
62.275,236.995,140.84,107.143,10
62.286,236.904,140.134,107.026,10
62.297,236.811,139.429,106.909,10
62.307,236.725,138.79,106.803,10
62.318,236.629,138.089,106.687,10
62.328,236.54,137.453,106.581,10
62.339,236.44,136.756,106.464,10
62.35,236.339,136.06,106.348,10
62.361,236.236,135.366,106.232,10
62.371,236.142,134.737,106.127,10
62.382,236.036,134.047,106.011,10
62.392,235.939,133.422,105.906,10
62.403,235.831,132.736,105.791,10
62.414,235.721,132.053,105.676,10
62.425,235.61,131.372,105.561,10
62.435,235.509,130.755,105.456,10
62.446,235.396,130.079,105.342,10
62.456,235.292,129.467,105.238,10
62.467,235.178,128.795,105.124,10
62.478,235.062,128.127,105.01,10
62.489,234.946,127.462,104.897,10
62.499,234.839,126.859,104.794,10
62.51,234.721,126.199,104.681,10
62.52,234.614,125.601,104.579,10
62.531,234.495,124.947,104.466,10
62.542,234.375,124.296,104.354,10
62.553,234.256,123.647,104.243,10
62.563,234.146,123.061,104.141,10
62.574,234.026,122.419,104.03,10
62.584,233.917,121.838,103.93,10
62.595,233.796,121.203,103.82,10
62.606,233.676,120.571,103.71,10
62.617,233.555,119.942,103.6,10
62.627,233.446,119.374,103.501,10
62.638,233.326,118.752,103.392,10
62.648,233.217,118.19,103.294,10
62.659,233.097,117.575,103.186,10
62.67,232.978,116.964,103.079,10
62.681,232.86,116.356,102.972,10
62.691,232.753,115.808,102.875,10
62.702,232.636,115.208,102.769,10
62.712,232.53,114.666,102.673,10
62.723,232.415,114.073,102.567,10
62.734,232.3,113.485,102.463,10
62.745,232.187,112.901,102.359,10
62.755,232.085,112.373,102.264,10
62.766,231.974,111.797,102.161,10
62.776,231.874,111.277,102.068,10
62.787,231.765,110.709,101.966,10
62.798,231.658,110.145,101.864,10
62.809,231.553,109.585,101.763,10
62.823,231.421,108.879,101.636,10
62.834,231.32,108.33,101.536,10
62.845,231.22,107.785,101.437,10
62.856,231.123,107.244,101.339,10
62.867,231.028,106.708,101.241,10
62.877,230.943,106.225,101.153,10
62.888,230.852,105.698,101.056,10
62.898,230.771,105.222,100.969,10
62.909,230.684,104.704,100.874,10
62.92,230.6,104.191,100.779,10
62.931,230.519,103.682,100.685,10
62.941,230.447,103.223,100.601,10
62.952,230.371,102.724,100.508,10
62.962,230.305,102.274,100.424,10
62.973,230.234,101.784,100.333,10
62.984,230.167,101.298,100.243,10
62.995,230.103,100.818,100.153,10
63.005,230.048,100.386,100.072,10
63.016,229.99,99.9147,99.984,10
63.026,229.939,99.4884,99.904,10
63.037,229.883,99.0199,99.816,10
63.048,229.829,98.5519,99.728,10
63.059,229.775,98.0843,99.64,10
63.069,229.727,97.6596,99.56,10
63.08,229.675,97.1928,99.472,10
63.09,229.629,96.7688,99.392,10
