time,acc_theta1,acc_theta2,acc_d3,acc_theta4
65.941,-0.827093,2.1326,-0.78016,1.30551
65.952,-0.835699,2.16462,-0.75904,1.32892
65.962,-0.843523,2.19372,-0.73984,1.3502
65.973,-0.852129,2.22574,-0.71872,1.37361
65.983,-0.859953,2.25484,-0.69952,1.39489
65.994,-0.868559,2.28686,-0.6784,1.4183
66.004,-0.876383,2.31597,-0.6592,1.43958
66.015,-0.884989,2.34798,-0.63808,1.46299
66.025,-0.892813,2.37709,-0.61888,1.48427
66.036,-0.901419,2.4091,-0.59776,1.50768
66.046,-0.909242,2.43821,-0.57856,1.52897
66.057,-0.917849,2.47023,-0.55744,1.55238
66.068,-0.926455,2.50224,-0.53632,1.57579
66.078,-0.934278,2.53135,-0.51712,1.59707
66.089,-0.942885,2.56336,-0.496,1.62048
66.099,-0.950708,2.59247,-0.4768,1.64176
66.11,-0.959314,2.62449,-0.45568,1.66517
66.12,-0.967138,2.65359,-0.43648,1.68645
66.131,-0.975744,2.68561,-0.41536,1.70986
66.141,-0.983568,2.71471,-0.39616,1.73114
66.152,-0.992174,2.74673,-0.37504,1.75455
66.162,-0.999998,2.77583,-0.35584,1.77584
66.173,-1.0086,2.80785,-0.33472,1.79925
66.183,-1.01643,2.83696,-0.31552,1.82053
66.194,-1.02503,2.86897,-0.2944,1.84394
66.205,-1.03364,2.90099,-0.27328,1.86735
66.215,-1.04146,2.93009,-0.25408,1.88863
66.226,-1.05007,2.96211,-0.23296,1.91204
66.236,-1.05789,2.99122,-0.21376,1.93332
66.247,-1.0665,3.02323,-0.19264,1.95673
66.257,-1.07432,3.05234,-0.17344,1.97801
66.268,-1.08293,3.08435,-0.15232,2.00142
66.278,-1.09075,3.11346,-0.13312,2.02271
66.289,-1.09936,3.14548,-0.112,2.04612
66.299,-1.10718,3.17458,-0.0928,2.0674
66.31,-1.11579,3.2066,-0.07168,2.09081
66.321,-1.1244,3.23861,-0.05056,2.11422
66.331,-1.13222,3.26772,-0.03136,2.1355
66.342,-1.14083,3.29974,-0.01024,2.15891
66.352,-1.14865,3.32884,0.00896,2.18019
66.363,-1.15726,3.36086,0.03008,2.2036
66.373,-1.16508,3.38996,0.04928,2.22488
66.384,-1.17369,3.42198,0.0704,2.24829
66.394,-1.18151,3.45109,0.0896,2.26958
66.405,-1.19012,3.4831,0.11072,2.29299
66.415,-1.19794,3.51221,0.12992,2.31427
66.426,-1.20655,3.54422,0.15104,2.33768
66.436,-1.21437,3.57333,0.17024,2.35896
66.447,-1.22298,3.60534,0.19136,2.38237
66.458,-1.23158,3.63736,0.21248,2.40578
66.468,-1.23941,3.66647,0.23168,2.42706
66.479,-1.24801,3.69848,0.2528,2.45047
66.489,-1.25584,3.72759,0.272,2.47175
66.5,-1.26444,3.7596,0.29312,2.49516
66.51,-1.27226,3.78871,0.31232,2.51645
66.521,-1.28087,3.82073,0.33344,2.53986
66.531,-1.28869,3.84983,0.35264,2.56114
66.542,-1.2973,3.88185,0.37376,2.58455
66.552,-1.30512,3.91095,0.39296,2.60583
66.563,-1.31373,3.94297,0.41408,2.62924
66.574,-1.32234,3.97499,0.4352,2.65265
66.584,-1.33016,4.00409,0.4544,2.67393
66.595,-1.33877,4.03611,0.47552,2.69734
66.605,-1.34659,4.06521,0.49472,2.71862
66.616,-1.3552,4.09723,0.51584,2.74203
66.629,-1.36537,4.13507,0.5408,2.7697
66.64,-1.37397,4.16708,0.56192,2.79311
66.65,-1.3818,4.19619,0.58112,2.81439
66.661,-1.3904,4.22821,0.60224,2.8378
66.676,-1.40214,4.27186,0.63104,2.86972
66.686,-1.40996,4.30097,0.65024,2.89101
66.697,-1.41857,4.33299,0.67136,2.91442
66.708,-1.42718,4.365,0.69248,2.93783
66.718,-1.435,4.39411,0.71168,2.95911
66.729,-1.44361,4.42612,0.7328,2.98252
66.739,-1.45143,4.45523,0.752,3.0038
66.75,-1.46004,4.48725,0.77312,3.02721
66.76,-1.46786,4.51635,0.79232,3.04849
66.771,-1.47647,4.54837,0.81344,3.0719
66.781,-1.48429,4.57747,0.83264,3.09318
66.792,-1.4929,4.60949,0.85376,3.11659
66.802,-1.50072,4.63859,0.87296,3.13788
66.813,-1.50932,4.67061,0.89408,3.16129
66.824,-1.51793,4.70263,0.9152,3.1847
66.834,-1.52575,4.73173,0.9344,3.20598
66.845,-1.53436,4.76375,0.95552,3.22939
66.855,-1.54218,4.79285,0.97472,3.25067
66.866,-1.55079,4.82487,0.99584,3.27408
66.876,-1.55861,4.85398,1.01504,3.29536
66.887,-1.56722,4.88599,1.03616,3.31877
66.897,-1.57504,4.9151,1.05536,3.34005
66.915,-1.58913,4.96749,1.08992,3.37836
66.926,-1.59773,4.9995,1.11104,3.40177
66.936,-1.60556,5.02861,1.13024,3.42305
66.947,-1.61416,5.06063,1.15136,3.44646
66.958,-1.62277,5.09264,1.17248,3.46987
66.968,-1.63059,5.12175,1.19168,3.49116
66.979,-1.6392,5.15376,1.2128,3.51457
66.989,-1.64702,5.18287,1.232,3.53585
67,-1.65563,5.21489,1.25312,3.55926
67.01,-1.66345,5.24399,1.27232,3.58054
67.021,-1.67206,5.27601,1.29344,3.60395
67.031,-1.67988,5.30511,1.31264,3.62523
67.042,-1.68849,5.33713,1.33376,3.64864
67.052,-1.69631,5.36624,1.35296,3.66992
67.063,-1.70492,5.39825,1.37408,3.69333
67.074,-1.71353,5.43027,1.3952,3.71674
67.084,-1.72135,5.45937,1.4144,3.73802
67.095,-1.72996,5.49139,1.43552,3.76143
67.105,-1.73778,5.5205,1.45472,3.78272
67.116,-1.74638,5.55251,1.47584,3.80613
67.126,-1.75421,5.58162,1.49504,3.82741
67.137,-1.76281,5.61363,1.51616,3.85082
67.147,-1.77064,5.64274,1.53536,3.8721
67.158,-1.77924,5.67476,1.55648,3.89551
67.168,-1.78707,5.70386,1.57568,3.91679
67.179,-1.79567,5.73588,1.5968,3.9402
67.19,-1.80428,5.76789,1.61792,3.96361
67.2,-1.8121,5.797,1.63712,3.98489
67.211,-1.82071,5.82902,1.65824,4.0083
67.221,-1.82853,5.85812,1.67744,4.02959
67.232,-1.83714,5.89014,1.69856,4.053
67.242,-1.84496,5.91924,1.71776,4.07428
67.253,-1.85357,5.95126,1.73888,4.09769
67.263,-1.86139,5.98036,1.75808,4.11897
67.274,-1.87,6.01238,1.7792,4.14238
67.284,-1.87782,6.04149,1.7984,4.16366
67.295,-1.88643,6.0735,1.81952,4.18707
67.305,-1.89425,6.10261,1.83872,4.20835
67.316,-1.90286,6.13462,1.85984,4.23176
67.327,-1.91147,6.16664,1.88096,4.25517
67.337,-1.91929,6.19575,1.90016,4.27646
67.348,-1.9279,6.22776,1.92128,4.29987
67.358,-1.93572,6.25687,1.94048,4.32115
67.369,-1.94433,6.28888,1.9616,4.34456
67.379,-1.95215,6.31799,1.9808,4.36584
67.39,-1.96076,6.35001,2.00192,4.38925
67.4,-1.96858,6.37911,2.02112,4.41053
67.411,-1.97719,6.41113,2.04224,4.43394
67.421,-1.98501,6.44023,2.06144,4.45522
67.432,-1.99362,6.47225,2.08256,4.47863
67.443,-2.00222,6.50427,2.10368,4.50204
67.453,-2.01005,6.53337,2.12288,4.52333
67.464,-2.01865,6.56539,2.144,4.54674
67.474,-2.02648,6.59449,2.1632,4.56802
67.485,-2.03508,6.62651,2.18432,4.59143
67.495,-2.04291,6.65562,2.20352,4.61271
67.506,-2.05151,6.68763,2.22464,4.63612
67.516,-2.05934,6.71674,2.24384,4.6574
67.527,-2.06794,6.74875,2.26496,4.68081
67.537,-2.07577,6.77786,2.28416,4.70209
67.548,-2.08437,6.80988,2.30528,4.7255
67.558,-2.0922,6.83898,2.32448,4.74679
67.569,-2.1008,6.871,2.3456,4.7702
67.58,-2.10941,6.90301,2.36672,4.79361
67.59,-2.11723,6.93212,2.38592,4.81489
67.601,-2.12584,6.96413,2.40704,4.8383
67.611,-2.13366,6.99324,2.42624,4.85958
67.622,-2.14227,7.02526,2.44736,4.88299
67.632,-2.15009,7.05436,2.46656,4.90427
67.643,-2.1587,7.08638,2.48768,4.92768
67.653,-2.16652,7.11548,2.50688,4.94896
67.664,-2.17513,7.1475,2.528,4.97237
67.674,-2.18295,7.17661,2.5472,4.99366
67.685,-2.19156,7.20862,2.56832,5.01707
67.696,-2.20016,7.24064,2.58944,5.04048
67.706,-2.20799,7.26974,2.60864,5.06176
67.717,-2.21659,7.30176,2.62976,5.08517
67.727,-2.22442,7.33087,2.64896,5.10645
67.738,-2.23302,7.36288,2.67008,5.12986
67.748,-2.24085,7.39199,2.68928,5.15114
67.759,-2.24945,7.424,2.7104,5.17455
67.769,-2.25728,7.45311,2.7296,5.19583
67.78,-2.26588,7.48513,2.75072,5.21924
67.79,-2.27371,7.51423,2.76992,5.24052
67.801,-2.28231,7.54625,2.79104,5.26393
67.811,-2.29014,7.57535,2.81024,5.28522
67.822,-2.29874,7.60737,2.83136,5.30863
67.833,-2.30735,7.63939,2.85248,5.33204
67.843,-2.31517,7.66849,2.87168,5.35332
67.854,-2.32378,7.70051,2.8928,5.37673
67.864,-2.3316,7.72961,2.912,5.39801
67.875,-2.34021,7.76163,2.93312,5.42142
67.885,-2.34803,7.79073,2.95232,5.4427
67.896,-2.35664,7.82275,2.97344,5.46611
67.906,-2.36446,7.85186,2.99264,5.48739
67.917,-2.37307,7.88387,3.01376,5.5108
67.927,-2.38089,7.91298,3.03296,5.53209
67.938,-2.3895,7.94499,3.05408,5.5555
67.949,-2.3981,7.97701,3.0752,5.57891
67.959,-2.40593,8.00612,3.0944,5.60019
67.97,-2.41453,8.03813,3.11552,5.6236
67.98,-2.42236,8.06724,3.13472,5.64488
67.991,-2.43096,8.09925,3.15584,5.66829
68.001,-2.43879,8.12836,3.17504,5.68957
68.012,-2.44739,8.16038,3.19616,5.71298
68.022,-15.7175,26.081,12.6925,10.3635
68.033,-15.532,25.8099,12.5446,10.2779
68.043,-15.3633,25.5635,12.4102,10.2001
68.054,-15.1778,25.2924,12.2624,10.1146
68.065,-14.9923,25.0213,12.1146,10.029
68.075,-14.8236,24.7748,11.9802,9.95124
68.086,-14.6381,24.5037,11.8323,9.86568
68.096,-14.4694,24.2573,11.6979,9.78789
68.107,-14.2839,23.9862,11.5501,9.70233
68.117,-14.1152,23.7397,11.4157,9.62455
68.128,-13.9297,23.4686,11.2678,9.53898
68.138,-13.761,23.2222,11.1334,9.4612
68.149,-13.5755,22.9511,10.9856,9.37564
68.159,-13.4068,22.7047,10.8512,9.29785
68.17,-13.2213,22.4336,10.7034,9.21229
68.18,-13.0526,22.1871,10.569,9.13451
68.191,-12.8671,21.916,10.4211,9.04895
68.202,-12.6815,21.6449,10.2733,8.96339
68.212,-12.5129,21.3985,10.1389,8.8856
68.223,-12.3273,21.1274,9.99104,8.80004
68.233,-12.1587,20.8809,9.85664,8.72226
68.244,-11.9731,20.6098,9.7088,8.63669
68.254,-11.8045,20.3634,9.5744,8.55891
68.265,-11.6189,20.0923,9.42656,8.47335
68.275,-11.4503,19.8458,9.29216,8.39556
68.286,-11.2647,19.5747,9.14432,8.31
68.296,-11.0961,19.3283,9.00992,8.23222
68.307,-10.9105,19.0572,8.86208,8.14666
68.318,-10.725,18.7861,8.71424,8.0611
68.328,-10.5564,18.5397,8.57984,7.98331
68.339,-10.3708,18.2686,8.432,7.89775
68.349,-10.2022,18.0221,8.2976,7.81997
68.36,-10.0166,17.751,8.14976,7.7344
68.37,-9.84796,17.5046,8.01536,7.65662
68.381,-9.66242,17.2335,7.86752,7.57106
68.391,-9.49376,16.987,7.73312,7.49328
68.402,-9.30822,16.7159,7.58528,7.40771
68.412,-9.13956,16.4695,7.45088,7.32993
68.423,-8.95403,16.1984,7.30304,7.24437
68.433,-8.78536,15.9519,7.16864,7.16658
68.444,-8.59983,15.6809,7.0208,7.08102
68.455,-8.4143,15.4098,6.87296,6.99546
68.465,-8.24563,15.1633,6.73856,6.91768
68.476,-8.0601,14.8922,6.59072,6.83211
68.486,-7.89143,14.6458,6.45632,6.75433
68.497,-7.7059,14.3747,6.30848,6.66877
68.507,-7.53723,14.1282,6.17408,6.59099
68.518,-7.3517,13.8571,6.02624,6.50542
68.528,-7.18304,13.6107,5.89184,6.42764
68.539,-6.9975,13.3396,5.744,6.34208
68.549,-6.82884,13.0931,5.6096,6.26429
68.56,-6.64331,12.822,5.46176,6.17873
68.571,-6.45777,12.5509,5.31392,6.09317
68.581,-6.28911,12.3045,5.17952,6.01539
68.592,-6.10358,12.0334,5.03168,5.92982
68.602,-5.93491,11.787,4.89728,5.85204
68.613,-5.74938,11.5159,4.74944,5.76648
68.623,-5.58071,11.2694,4.61504,5.6887
68.634,-5.39518,10.9983,4.4672,5.60313
68.644,-5.22651,10.7519,4.3328,5.52535
68.655,-5.04098,10.4808,4.18496,5.43979
68.665,-4.87232,10.2343,4.05056,5.362
68.676,-4.68678,9.96323,3.90272,5.27644
68.686,-4.51812,9.71678,3.76832,5.19866
68.697,-4.33259,9.44568,3.62048,5.1131
68.708,-4.14705,9.17459,3.47264,5.02753
68.718,-3.97839,8.92814,3.33824,4.94975
68.729,-3.79286,8.65705,3.1904,4.86419
68.739,-3.62419,8.4106,3.056,4.78641
68.75,-3.43866,8.1395,2.90816,4.70084
68.76,-3.26999,7.89305,2.77376,4.62306
68.771,-3.08446,7.62196,2.62592,4.5375
68.781,-2.91579,7.37551,2.49152,4.45971
68.792,-2.73026,7.10441,2.34368,4.37415
68.802,-2.5616,6.85797,2.20928,4.29637
68.813,-2.37606,6.58687,2.06144,4.21081
68.824,-2.19053,6.31578,1.9136,4.12524
68.834,-2.02187,6.06933,1.7792,4.04746
68.845,-1.83633,5.79823,1.63136,3.9619
68.855,-1.66767,5.55178,1.49696,3.88412
68.866,-1.48214,5.28069,1.34912,3.79855
68.876,-1.31347,5.03424,1.21472,3.72077
68.887,-1.12794,4.76315,1.06688,3.63521
68.897,-0.959272,4.5167,0.93248,3.55742
68.908,-0.77374,4.2456,0.78464,3.47186
68.918,-0.605074,3.99915,0.65024,3.39408
68.929,-0.419542,3.72806,0.5024,3.30852
68.94,-0.23401,3.45696,0.35456,3.22295
68.95,-0.0653441,3.21052,0.22016,3.14517
68.961,0.120188,2.93942,0.0723199,3.05961
68.971,0.288854,2.69297,-0.0620801,2.98183
68.982,0.474386,2.42188,-0.20992,2.89626
68.992,0.643052,2.17543,-0.34432,2.81848
69.003,0.828584,1.90433,-0.49216,2.73292
69.013,0.99725,1.65788,-0.62656,2.65513
69.024,1.18278,1.38679,-0.7744,2.56957
69.034,1.35145,1.14034,-0.9088,2.49179
69.045,1.53698,0.869247,-1.05664,2.40623
69.055,1.70565,0.622797,-1.19104,2.32844
69.066,1.89118,0.351703,-1.33888,2.24288
69.079,2.11044,0.0313189,-1.5136,2.14176
69.089,2.27911,-0.21513,-1.648,2.06398
69.099,2.44777,-0.46158,-1.7824,1.9862
69.11,2.63331,-0.732674,-1.93024,1.90063
69.12,2.80197,-0.979123,-2.06464,1.82285
69.131,2.98751,-1.25022,-2.21248,1.73729
69.141,3.15617,-1.49667,-2.34688,1.6595
69.152,3.3417,-1.76776,-2.49472,1.57394
69.162,3.51037,-2.01421,-2.62912,1.49616
69.173,3.6959,-2.2853,-2.77696,1.4106
69.183,3.86457,-2.53175,-2.91136,1.33281
69.194,4.0501,-2.80285,-3.0592,1.24725
69.205,4.23563,-3.07394,-3.20704,1.16169
69.215,4.4043,-3.32039,-3.34144,1.08391
69.226,4.58983,-3.59149,-3.48928,0.998343
69.236,4.7585,-3.83794,-3.62368,0.92056
69.247,4.94403,-4.10903,-3.77152,0.834998
69.257,5.11269,-4.35548,-3.90592,0.757214
69.268,5.29823,-4.62657,-4.05376,0.671652
69.278,5.46689,-4.87302,-4.18816,0.593869
69.289,5.65242,-5.14412,-4.336,0.508307
69.299,5.82109,-5.39057,-4.4704,0.430523
69.31,6.00662,-5.66166,-4.61824,0.344961
69.321,6.19215,-5.93275,-4.76608,0.259399
69.331,6.36082,-6.1792,-4.90048,0.181615
69.342,6.54635,-6.4503,-5.04832,0.0960535
69.352,6.71502,-6.69675,-5.18272,0.0182698
69.363,6.90055,-6.96784,-5.33056,-0.0672921
69.373,7.06922,-7.21429,-5.46496,-0.145076
69.384,7.25475,-7.48539,-5.6128,-0.230638
69.394,7.42341,-7.73183,-5.7472,-0.308421
69.405,7.60895,-8.00293,-5.89504,-0.393983
69.415,7.77761,-8.24938,-6.02944,-0.471767
69.426,7.96314,-8.52047,-6.17728,-0.557329
69.436,8.13181,-8.76692,-6.31168,-0.635112
69.447,8.31734,-9.03802,-6.45952,-0.720674
69.458,8.50287,-9.30911,-6.60736,-0.806236
69.468,8.67154,-9.55556,-6.74176,-0.88402
69.479,8.85707,-9.82665,-6.8896,-0.969582
69.489,9.02574,-10.0731,-7.024,-1.04737
69.5,9.21127,-10.3442,-7.17184,-1.13293
69.51,9.37994,-10.5906,-7.30624,-1.21071
69.521,9.56547,-10.8617,-7.45408,-1.29627
69.531,9.73413,-11.1082,-7.58848,-1.37406
69.542,9.91967,-11.3793,-7.73632,-1.45962
69.552,10.0883,-11.6257,-7.87072,-1.5374
69.563,10.2739,-11.8968,-8.01856,-1.62296
69.574,10.4594,-12.1679,-8.1664,-1.70853
69.584,10.6281,-12.4144,-8.3008,-1.78631
69.595,10.8136,-12.6855,-8.44864,-1.87187
69.605,10.9823,-12.9319,-8.58304,-1.94966
69.616,11.1678,-13.203,-8.73088,-2.03522
69.626,11.3365,-13.4495,-8.86528,-2.113
69.637,11.522,-13.7206,-9.01312,-2.19856
69.647,11.6907,-13.967,-9.14752,-2.27635
69.658,11.8762,-14.2381,-9.29536,-2.36191
69.668,12.0449,-14.4845,-9.42976,-2.43969
69.679,12.2304,-14.7556,-9.5776,-2.52525
69.69,12.4159,-15.0267,-9.72544,-2.61082
69.7,12.5846,-15.2732,-9.85984,-2.6886
69.711,12.7701,-15.5443,-10.0077,-2.77416
69.721,12.9388,-15.7907,-10.1421,-2.85195
69.732,13.1243,-16.0618,-10.2899,-2.93751
69.742,13.293,-16.3083,-10.4243,-3.01529
69.753,13.4785,-16.5794,-10.5722,-3.10085
69.763,13.6472,-16.8258,-10.7066,-3.17864
69.774,13.8327,-17.0969,-10.8544,-3.2642
69.784,14.0014,-17.3434,-10.9888,-3.34198
69.795,14.1869,-17.6145,-11.1366,-3.42754
69.805,14.3556,-17.8609,-11.271,-3.50533
69.816,14.5411,-18.132,-11.4189,-3.59089
69.827,14.7266,-18.4031,-11.5667,-3.67645
69.837,14.8953,-18.6495,-11.7011,-3.75424
69.848,15.0808,-18.9206,-11.849,-3.8398
69.858,15.2495,-19.1671,-11.9834,-3.91758
69.869,15.435,-19.4382,-12.1312,-4.00314
69.879,15.6037,-19.6846,-12.2656,-4.08093
69.89,15.7892,-19.9557,-12.4134,-4.16649
69.9,15.9579,-20.2022,-12.5478,-4.24427
69.911,16.1434,-20.4733,-12.6957,-4.32983
69.921,16.3121,-20.7197,-12.8301,-4.40762
69.932,16.4976,-20.9908,-12.9779,-4.49318
69.943,16.6832,-21.2619,-13.1258,-4.57874
69.953,16.8518,-21.5084,-13.2602,-4.65653
69.964,17.0374,-21.7794,-13.408,-4.74209
69.974,17.206,-22.0259,-13.5424,-4.81987
69.985,17.3916,-22.297,-13.6902,-4.90543
69.995,17.5602,-22.5434,-13.8246,-4.98322
70.006,17.7458,-22.8145,-13.9725,-5.06878
70.016,17.9144,-23.061,-14.1069,-5.14656
70.027,18.1,-23.3321,-14.2547,-5.23212
70.037,18.2686,-23.5785,-14.3891,-5.30991
70.048,18.4542,-23.8496,-14.537,-5.39547
70.058,18.6228,-24.0961,-14.6714,-5.47325
70.069,18.8083,-24.3672,-14.8192,-5.55882
70.08,18.9939,-24.6383,-14.967,-5.64438
70.09,19.1625,-24.8847,-15.1014,-5.72216
70.101,19.3481,-25.1558,-15.2493,-5.80772
70.111,19.5167,-25.4023,-15.3837,-5.88551
70.122,19.7023,-25.6733,-15.5315,-5.97107
70.132,19.8709,-25.9198,-15.6659,-6.04885
70.143,20.0565,-26.1909,-15.8138,-6.13441
70.153,20.2251,-26.4373,-15.9482,-6.2122
70.164,20.4107,-26.7084,-16.096,-6.29776
70.174,20.5793,-26.9549,-16.2304,-6.37554
70.185,20.7649,-27.226,-16.3782,-6.46111
70.196,20.9504,-27.4971,-16.5261,-6.54667
70.206,21.1191,-27.7435,-16.6605,-6.62445
70.217,21.3046,-28.0146,-16.8083,-6.71001
70.227,21.4733,-28.2611,-16.9427,-6.7878
70.238,21.6588,-28.5322,-17.0906,-6.87336
70.248,21.8275,-28.7786,-17.225,-6.95114
70.259,22.013,-29.0497,-17.3728,-7.0367
70.269,22.1817,-29.2962,-17.5072,-7.11449
70.28,22.3672,-29.5672,-17.655,-7.20005
70.29,22.5359,-29.8137,-17.7894,-7.27783
70.301,22.7214,-30.0848,-17.9373,-7.3634
70.311,22.8901,-30.3312,-18.0717,-7.44118
70.322,23.0756,-30.6023,-18.2195,-7.52674
70.333,23.2611,-30.8734,-18.3674,-7.6123
70.343,23.4298,-31.1199,-18.5018,-7.69009
70.354,23.6153,-31.391,-18.6496,-7.77565
70.364,23.784,-31.6374,-18.784,-7.85343
70.375,23.9695,-31.9085,-18.9318,-7.93899
70.385,24.1382,-32.155,-19.0662,-8.01678
70.396,24.3237,-32.4261,-19.2141,-8.10234
70.406,24.4924,-32.6725,-19.3485,-8.18012
70.417,24.6779,-32.9436,-19.4963,-8.26568
70.427,24.8466,-33.19,-19.6307,-8.34347
70.438,25.0321,-33.4611,-19.7786,-8.42903
70.449,25.2176,-33.7322,-19.9264,-8.51459
70.459,25.3863,-33.9787,-20.0608,-8.59238
70.47,25.5718,-34.2498,-20.2086,-8.67794
70.48,25.7405,-34.4962,-20.343,-8.75572
70.491,25.926,-34.7673,-20.4909,-8.84128
70.501,26.0947,-35.0138,-20.6253,-8.91907
70.512,26.2802,-35.2849,-20.7731,-9.00463
