time,pos_x,pos_y,pos_z,pos_phi
216.374,236.102,171.584,106.092,10.6654
216.404,236.098,170.966,105.931,10.6696
216.434,236.093,170.337,105.766,10.6737
216.464,236.086,169.717,105.605,10.6777
216.494,236.077,169.088,105.441,10.6816
216.524,236.067,168.465,105.279,10.6853
216.554,236.054,167.838,105.116,10.689
216.584,236.04,167.203,104.952,10.6926
216.614,236.025,166.576,104.79,10.696
216.644,236.007,165.943,104.627,10.6993
216.674,235.988,165.299,104.461,10.7026
216.704,235.967,164.671,104.3,10.7057
216.734,235.943,163.997,104.128,10.7088
216.764,235.92,163.404,103.976,10.7115
216.794,235.894,162.758,103.811,10.7143
216.824,235.865,162.109,103.646,10.7169
216.854,235.836,161.476,103.485,10.7194
216.885,235.804,160.808,103.315,10.7218
216.915,235.771,160.166,103.152,10.7241
216.945,235.737,159.522,102.99,10.7262
216.975,235.7,158.87,102.825,10.7282
217.005,235.661,158.208,102.658,10.73
217.035,235.623,157.581,102.501,10.7317
217.065,235.582,156.937,102.339,10.7332
217.095,235.539,156.282,102.175,10.7347
217.125,235.495,155.636,102.014,10.7359
217.155,235.45,154.988,101.853,10.7371
217.185,235.403,154.338,101.691,10.7381
217.215,235.355,153.696,101.532,10.7389
217.245,235.304,153.031,101.367,10.7396
217.275,235.252,152.383,101.207,10.7401
217.305,235.198,151.717,101.043,10.7405
217.335,235.144,151.065,100.882,10.7407
217.365,235.089,150.423,100.724,10.7408
217.395,235.031,149.77,100.564,10.7407
217.425,234.973,149.121,100.406,10.7404
217.455,234.913,148.462,100.245,10.74
217.485,234.853,147.816,100.088,10.7394
217.516,234.788,147.142,99.9239,10.7386
217.546,234.725,146.488,99.7655,10.7377
217.576,234.661,145.842,99.6094,10.7366
217.606,234.595,145.189,99.4518,10.7353
217.636,234.528,144.535,99.2944,10.7339
217.666,234.459,143.873,99.1357,10.7322
217.696,234.392,143.235,98.9829,10.7304
217.726,234.322,142.583,98.8271,10.7284
217.757,234.176,141.276,98.5156,10.7241
217.795,234.129,140.864,98.4176,10.7226
217.825,234.082,140.445,98.3184,10.7209
217.855,234.007,139.789,98.1634,10.718
217.885,233.934,139.15,98.0131,10.7151
217.915,233.859,138.502,97.8606,10.7119
217.945,233.783,137.86,97.7103,10.7085
217.975,233.707,137.214,97.5594,10.705
218.005,233.63,136.571,97.4095,10.7012
218.035,233.552,135.928,97.2601,10.6972
218.065,233.475,135.288,97.1119,10.6931
218.095,233.395,134.636,96.9615,10.6886
218.125,233.317,134.005,96.8162,10.6841
218.155,233.237,133.365,96.6693,10.6793
218.185,233.158,132.727,96.5233,10.6743
218.215,233.078,132.088,96.3775,10.669
218.245,232.998,131.458,96.2343,10.6636
218.275,232.918,130.826,96.0913,10.658
218.305,232.837,130.19,95.9476,10.6521
218.335,232.757,129.558,95.8055,10.646
218.365,232.677,128.934,95.6655,10.6397
218.395,232.597,128.303,95.5245,10.6332
218.435,232.484,127.425,95.3292,10.6237
218.465,232.409,126.844,95.2005,10.6171
218.495,232.329,126.221,95.063,10.6098
218.525,232.25,125.6,94.9268,10.6023
218.555,232.171,124.979,94.7908,10.5945
218.585,232.091,124.355,94.6549,10.5865
218.615,232.014,123.748,94.5233,10.5784
218.645,231.934,123.117,94.3869,10.5696
218.675,231.859,122.516,94.2577,10.5611
218.705,231.783,121.907,94.1275,10.5522
218.735,231.707,121.296,93.9973,10.5429
218.766,231.629,120.667,93.8639,10.5331
218.796,231.555,120.063,93.7365,10.5234
218.826,231.479,119.433,93.6043,10.513
218.856,231.409,118.857,93.4842,10.5033
218.886,231.339,118.267,93.3616,10.4929
218.916,231.266,117.644,93.233,10.4817
218.946,231.194,117.019,93.1047,10.4702
218.976,231.13,116.464,92.9914,10.4597
219.006,231.065,115.886,92.874,10.4484
219.036,231,115.294,92.7546,10.4366
219.066,230.936,114.708,92.6372,10.4245
219.096,230.874,114.121,92.5204,10.4122
219.126,230.812,113.534,92.4041,10.3995
219.156,230.751,112.934,92.2863,10.3862
219.186,230.696,112.377,92.1775,10.3735
219.216,230.639,111.793,92.0644,10.3599
219.246,230.586,111.231,91.9564,10.3465
219.276,230.534,110.66,91.8473,10.3325
219.306,230.484,110.09,91.7396,10.3182
219.336,230.436,109.523,91.6331,10.3037
219.366,230.39,108.963,91.5287,10.2889
219.397,230.344,108.367,91.4186,10.2729
219.427,230.304,107.824,91.3194,10.2579
219.457,230.262,107.233,91.2121,10.2412
219.487,230.226,106.697,91.1159,10.2258
219.517,230.192,106.158,91.02,10.2098
219.547,230.16,105.603,90.9224,10.1931
219.577,230.131,105.063,90.8283,10.1764
219.607,230.104,104.519,90.7345,10.1592
219.637,230.08,103.973,90.6413,10.1415
219.667,230.059,103.436,90.5509,10.1238
219.697,230.04,102.898,90.4612,10.1056
219.727,230.025,102.358,90.3724,10.087
219.757,230.013,101.836,90.2876,10.0685
219.787,230.003,101.307,90.2029,10.0495
219.817,229.997,100.785,90.1203,10.0303
219.847,229.994,100.306,90.0456,10.0122
219.877,229.994,99.7376,89.9582,9.9904
219.907,229.997,99.2136,89.8787,9.96975
219.937,230.002,98.6848,89.7995,9.94839
219.967,230.009,98.1527,89.7209,9.92641
219.997,230.019,97.6257,89.6439,9.90414
220.028,230.031,97.0555,89.5617,9.87953
220.058,230.045,96.5374,89.488,9.8567
220.088,230.061,95.9919,89.4114,9.83218
220.118,230.079,95.4468,89.3358,9.80721
220.148,230.1,94.8983,89.2606,9.78163
220.178,230.122,94.3491,89.1863,9.75557
220.208,230.146,93.7957,89.1123,9.72887
220.238,230.173,93.2396,89.0389,9.7016
220.268,230.201,92.6793,88.9658,9.67369
220.298,230.232,92.1055,88.8918,9.64468
220.328,230.263,91.5496,88.8211,9.61616
220.358,230.296,90.9874,88.7503,9.58691
220.388,230.332,90.4144,88.6791,9.55669
220.418,230.369,89.8434,88.6089,9.52619
220.448,230.408,89.2666,88.5389,9.49498
220.478,230.448,88.6915,88.4699,9.46348
220.508,230.49,88.1049,88.4004,9.43096
220.538,230.534,87.5175,88.3315,9.39803
220.568,230.578,86.9422,88.2649,9.36541
220.598,230.624,86.3512,88.1972,9.33155
220.629,230.673,85.7445,88.1285,9.29642
220.659,230.723,85.1415,88.0611,9.26113
220.689,230.773,84.552,87.9959,9.2263
220.719,230.825,83.9524,87.9303,9.19053
220.749,230.877,83.3548,87.8657,9.15454
220.779,230.932,82.742,87.8002,9.11732
220.809,230.987,82.1417,87.7368,9.08053
220.839,231.043,81.5364,87.6735,9.04312
220.869,231.1,80.9321,87.6111,9.00548
220.899,231.159,80.3177,87.5483,8.96688
220.929,231.218,79.702,87.486,8.92792
220.959,231.279,79.0851,87.4244,8.88858
220.989,231.34,78.4662,87.3632,8.84882
221.019,231.402,77.8467,87.3026,8.80875
221.049,231.465,77.225,87.2424,8.76825
221.079,231.529,76.5993,87.1825,8.72721
221.109,231.595,75.9632,87.1223,8.68523
221.139,231.659,75.344,87.0642,8.64409
221.169,231.726,74.7056,87.0051,8.60143
221.199,231.793,74.0691,86.9467,8.55863
221.229,231.86,73.435,86.8892,8.51575
221.26,231.93,72.7725,86.8297,8.47069
221.29,231.998,72.1462,86.7741,8.42785
221.32,232.067,71.4977,86.7171,8.38326
221.35,232.137,70.8554,86.6612,8.33886
221.38,232.207,70.2104,86.6057,8.29405
221.41,232.277,69.5614,86.5504,8.24874
221.44,232.349,68.8998,86.4946,8.20233
221.47,232.418,68.267,86.4417,8.15774
221.5,232.49,67.6097,86.3874,8.11121
221.53,232.562,66.9528,86.3337,8.0645
221.56,232.634,66.2946,86.2804,8.01749
221.59,232.706,65.6403,86.2279,7.97057
221.62,232.778,64.983,86.1758,7.92326
221.65,232.85,64.3227,86.1239,7.87554
221.68,232.923,63.6542,86.0719,7.82703
221.71,232.998,62.963,86.0186,7.77671
221.74,233.067,62.3301,85.9703,7.73045
221.77,233.139,61.6643,85.92,7.68163
221.8,233.212,60.9926,85.8698,7.6322
221.83,233.286,60.3092,85.8191,7.58176
221.86,233.357,59.6499,85.7707,7.53293
221.891,233.431,58.9564,85.7203,7.48141
221.921,233.503,58.2809,85.6717,7.43108
221.951,233.574,57.6184,85.6245,7.38158
221.981,233.647,56.9287,85.5757,7.32989
222.011,233.718,56.2496,85.5282,7.27886
222.041,233.789,55.5686,85.481,7.22755
222.071,233.86,54.8827,85.4339,7.17574
222.101,233.93,54.2036,85.3877,7.12432
222.131,233.999,53.5355,85.3426,7.07361
222.161,234.07,52.8392,85.2961,7.02064
222.191,234.139,52.1553,85.2508,6.96849
222.221,234.207,51.4707,85.2058,6.91619
222.251,234.276,50.7813,85.161,6.8634
222.281,234.343,50.0928,85.1166,6.81058
222.311,234.41,49.4049,85.0726,6.7577
222.341,234.477,48.7156,85.0289,6.70463
222.371,234.544,48.018,84.9851,6.65081
222.401,234.608,47.3353,84.9426,6.59805
222.431,234.673,46.6375,84.8995,6.54403
222.461,234.737,45.946,84.8572,6.49042
222.491,234.801,45.2526,84.8151,6.43658
222.522,234.866,44.5303,84.7716,6.38042
222.552,234.927,43.8368,84.7302,6.32642
222.582,234.989,43.1406,84.689,6.27213
222.612,235.049,42.4366,84.6477,6.21717
222.642,235.109,41.7371,84.607,6.1625
222.672,235.168,41.0399,84.5667,6.10794
222.702,235.225,40.3454,84.5269,6.05354
222.732,235.282,39.651,84.4874,5.99909
222.762,235.339,38.9439,84.4475,5.94358
222.792,235.393,38.2518,84.4088,5.88922
222.822,235.448,37.5462,84.3696,5.83373
222.852,235.501,36.8541,84.3315,5.77928
222.882,235.554,36.1453,84.2927,5.72346
222.912,235.605,35.4465,84.2547,5.6684
222.942,235.655,34.7447,84.2169,5.61306
222.972,235.704,34.0444,84.1795,5.55782
223.002,235.753,33.3425,84.1422,5.50242
223.032,235.8,32.6417,84.1052,5.44708
223.062,235.846,31.9373,84.0683,5.39144
223.092,235.879,31.4294,84.0419,5.35129
223.122,235.936,30.5251,83.9952,5.27981
223.153,235.979,29.8073,83.9584,5.22306
223.183,236.021,29.1016,83.9225,5.16725
223.213,236.062,28.3965,83.8868,5.11148
223.243,236.101,27.6974,83.8517,5.05618
223.273,236.138,27.001,83.8169,5.00109
223.303,236.176,26.2926,83.7818,4.94505
223.333,236.209,25.6351,83.7493,4.89305
223.363,236.246,24.8913,83.7129,4.83423
223.393,236.279,24.1919,83.6788,4.77892
223.423,236.311,23.4817,83.6445,4.72277
223.453,236.344,22.7138,83.6075,4.66208
223.483,236.37,22.0912,83.5777,4.61289
223.513,236.398,21.3946,83.5446,4.55787
223.543,236.425,20.6906,83.5113,4.50229
223.573,236.451,19.9917,83.4784,4.44714
223.603,236.475,19.2962,83.4459,4.39228
223.633,236.498,18.5956,83.4133,4.33706
223.663,236.52,17.8696,83.3797,4.27986
223.693,236.539,17.2043,83.349,4.22749
223.723,236.558,16.507,83.3171,4.17263
223.754,236.576,15.7923,83.2845,4.11644
223.784,236.592,15.0978,83.2529,4.0619
223.814,236.606,14.4075,83.2218,4.00773
223.844,236.619,13.7142,83.1906,3.95338
223.874,236.631,13.0213,83.1596,3.8991
223.904,236.642,12.3313,83.1288,3.84512
223.934,236.651,11.6471,83.0984,3.79164
223.964,236.658,10.9533,83.0678,3.73747
223.994,236.664,10.2655,83.0375,3.68384
224.024,236.669,9.57682,83.0072,3.63021
224.054,236.672,8.89727,82.9775,3.57735
224.084,236.674,8.21507,82.9478,3.52436
224.114,236.675,7.52753,82.918,3.47103
224.144,236.674,6.84226,82.8883,3.41793
224.174,236.672,6.17045,82.8593,3.36601
224.204,236.668,5.49167,82.8301,3.3136
224.234,236.663,4.8133,82.8011,3.2613
224.264,236.656,4.13846,82.7722,3.20937
224.294,236.648,3.45893,82.7432,3.15717
224.324,236.638,2.78873,82.7147,3.10578
224.354,236.628,2.119,82.6862,3.05453
224.385,236.615,1.42782,82.657,3.00173
224.415,236.601,0.75645,82.6286,2.95055
224.445,236.586,0.0961522,82.6007,2.90033
224.475,236.569,-0.57632,82.5724,2.84928
224.505,236.551,-1.23913,82.5445,2.79908
224.535,236.531,-1.89678,82.5169,2.74939
224.565,236.51,-2.55614,82.4892,2.69968
224.595,236.488,-3.20985,82.4618,2.65052
224.625,236.464,-3.86931,82.4342,2.60105
224.655,236.439,-4.52181,82.4069,2.55222
224.685,236.413,-5.17518,82.3795,2.50346
224.715,236.385,-5.81905,82.3526,2.45554
224.745,236.356,-6.46509,82.3256,2.4076
224.775,236.325,-7.11122,82.2986,2.35978
224.805,236.292,-7.77745,82.2707,2.31063
224.835,236.259,-8.40065,82.2447,2.26479
224.865,236.225,-9.036,82.2181,2.2182
224.895,236.188,-9.68078,82.1911,2.17108
224.925,236.151,-10.3083,82.1648,2.12536
224.955,236.112,-10.9373,82.1384,2.0797
224.985,236.072,-11.5642,82.1121,2.03435
225.016,236.03,-12.2079,82.085,1.98795
225.046,235.987,-12.8325,82.0587,1.94311
225.076,235.943,-13.4537,82.0325,1.89867
225.106,235.897,-14.0813,82.006,1.85395
225.136,235.851,-14.6954,81.98,1.81038
225.166,235.803,-15.3008,81.9543,1.7676
225.196,235.754,-15.9155,81.9281,1.72435
225.226,235.704,-16.5251,81.9021,1.68165
225.256,235.652,-17.1288,81.8762,1.63954
225.286,235.6,-17.7267,81.8506,1.59805
225.316,235.546,-18.3282,81.8246,1.5565
225.346,235.491,-18.9233,81.7989,1.51559
225.376,235.435,-19.512,81.7734,1.47533
225.406,235.378,-20.1,81.7477,1.43533
225.436,235.319,-20.6906,81.7219,1.39537
225.466,235.259,-21.2731,81.6963,1.35618
225.496,235.198,-21.853,81.6707,1.31738
225.526,235.136,-22.4329,81.645,1.27881
225.556,235.073,-23.0073,81.6194,1.24084
225.586,235.009,-23.578,81.5938,1.20335
225.616,234.944,-24.1477,81.5681,1.16616
225.647,234.875,-24.7317,81.5416,1.1283
225.677,234.808,-25.292,81.5161,1.09223
225.707,234.741,-25.8436,81.4908,1.05696
225.737,234.672,-26.3963,81.4653,1.02189
225.767,234.601,-26.9487,81.4396,0.987102
225.797,234.53,-27.4986,81.4139,0.952743
225.827,234.458,-28.0411,81.3883,0.919114
225.857,234.385,-28.5791,81.3628,0.886045
225.887,234.311,-29.1166,81.3371,0.853289
225.917,234.237,-29.6436,81.3117,0.821459
225.947,234.161,-30.1726,81.286,0.7898
225.977,234.084,-30.7027,81.26,0.758377
226.007,234.007,-31.2221,81.2343,0.727892
226.037,233.929,-31.7369,81.2087,0.697989
226.067,233.853,-32.2316,81.1838,0.669554
226.097,233.771,-32.7539,81.1573,0.639869
226.127,233.692,-33.2539,81.1317,0.611772
226.157,233.61,-33.7582,81.1056,0.583767
226.187,233.529,-34.2493,81.0799,0.556837
